Allow Document Upload,אפשר העלאת מסמכים
Allow Learning (Teach & Recall),אפשר למידה (הוראה וזכירה)
Allow Model Management,אפשר ניהול מודלים
Allow non-manager users with knowledge-base write grants to fetch URL sources from Additional Allowed Hosts. Redirects and response sizes remain guarded.,אפשר למשתמשים לא-מנהלים בעלי הרשאות כתיבה לבסיס ידע להביא מקורות URL מ״מארחים מותרים נוספים״. הפניות מחדש וגודלי תגובה נשארים מוגנים.
Allow Pipeline Execution,אפשר הרצת צינורות
Allow Tool Execution,אפשר הרצת כלים
Allow User URL Ingestion,אפשר קליטת URL על ידי משתמש
Allowed Models,מודלים מותרים
Allowed Roles,תפקידים מותרים
Allowed Values,ערכים מותרים
Also delete all folders and AI Documents in this subtree?,למחוק גם את כל התיקיות ומסמכי הבינה המלאכותית בעץ המשנה הזה?
An agent is configured,סוכן מוגדר
An embedding model is registered,מודל הטבעה רשום
An update action needs a document name.,פעולת עדכון דורשת שם מסמך.
Answer Only From Knowledge,ענה רק מתוך הידע
Answer with AI,ענה עם בינה מלאכותית
API Key,מפתח API
Application-Level Document Encryption (Unsupported),הצפנת מסמכים ברמת האפליקציה (לא נתמך)
Application-level document encryption is not supported.,הצפנת מסמכים ברמת האפליקציה אינה נתמכת.
Applied Skills,כישרונות שהוחלו
Applies to Role,חל על תפקיד
Applies to User,חל על משתמש
Approval notes are required when overriding a conflict.,הערות אישור נדרשות בעת עקיפת התנגשות.
Approval Required,נדרש אישור
Approve,אשר
Approve and Run,אשר והרץ
Approve Conflicting Candidate,אשר מועמד בהתנגשות
Approved,אושר
Approved At,אושר ב
Approved By,אושר על ידי
Approved On,אושר בתאריך
Arabic,ערבית
Archive,העבר לארכיון
Archive Conversation,העבר שיחה לארכיון
Archive this memory so it no longer influences AI answers?,להעביר את הזיכרון הזה לארכיון כך שלא ישפיע יותר על תשובות הבינה המלאכותית?
Archived,בארכיון
Archived documents cannot be processed.,מסמכים בארכיון לא ניתנים לעיבוד.
Argument {0} for tool {1} is not an allowed value.,הארגומנט {0} לכלי {1} אינו ערך מותר.
Argument {0} for tool {1} must be {2}.,הארגומנט {0} לכלי {1} חייב להיות {2}.
Arguments,ארגומנטים
Array,מערך
Ask About This,שאל על זה
Ask about {0},שאל על {0}
Assistant,עוזר
Audit,ביקורת
Audit Log Retention (days),שמירת יומן ביקורת (ימים)
Audit Logs,יומני ביקורת
Auto Embed After Extraction,הטבע אוטומטית לאחר חילוץ
Auto Pattern Scan,סריקת תבניות אוטומטית
Auto Process Uploaded Documents,עבד אוטומטית מסמכים שהועלו
Automation,אוטומציה
Automation Rules,כללי אוטומציה
Available,זמין
Available Models,מודלים זמינים
Average Latency (ms),השהיה ממוצעת (מ״ש)
Back-Translation Samples,דגימות תרגום חוזר
Base URL,כתובת URL בסיסית
Batch Size,גודל אצווה
Behaviour,התנהגות
Blocks any provider endpoint that is not a loopback/private address.,חוסם כל נקודת קצה של ספק שאינה כתובת מקומית/פרטית.
Boolean,בוליאני
"Bounded quote around the first occurrence, for citation re-anchoring.","ציטוט תחום סביב המופע הראשון, לצורך עיגון מחדש של ציטוט."
Builtin,מובנה
Can Write,יכול לכתוב
Cancel Requested,בוקש ביטול
Cancelled,בוטל
Cancelled by user,בוטל על ידי המשתמש
Canonical parent in Frappe's native File folder hierarchy. Home represents the tree root.,האב הקנוני בהיררכיית תיקיות הקבצים המקורית של Frappe. Home מייצג את שורש העץ.
Capabilities,יכולות
Case Sensitive,מבחין בין אותיות רישיות
Category,קטגוריה
Character offset of the first match within the scanned text window.,היסט תו של ההתאמה הראשונה בתוך חלון הטקסט הנסרק.
Characters,תווים
Characters carried from one chunk to the next so no fact is split across a boundary. Must be smaller than Chunk Size.,תווים שמועברים ממקטע אחד למקטע הבא כך שאף עובדה לא תפוצל בין גבולות. חייב להיות קטן מ״גודל מקטע״.
Chat,צ׳אט
Chat Correction,תיקון צ׳אט
"Chat with your local models, search your knowledge, and run AI tasks.","שוחח עם המודלים המקומיים שלך, חפש בידע שלך והרץ משימות בינה מלאכותית."
Checked On,נבדק בתאריך
Checksum,סכום ביקורת
Checksum of the document source when this row was written. Rescans refresh it.,סכום ביקורת של מקור המסמך בזמן שהשורה הזאת נכתבה. סריקות מחדש מרעננות אותו.
Chunk,מקטע
Chunk Index,אינדקס מקטע
Chunk Overlap,חפיפת מקטעים
Chunk Overlap (characters),חפיפת מקטעים (תווים)
Chunk Size,גודל מקטע
Chunk Size (characters),גודל מקטע (תווים)
Chunking,פיצול למקטעים
Chunks,מקטעים
Citation Mode,מצב ציטוט
Citations,ציטוטים
Classification,סיווג
Classification Confidence,ביטחון סיווג
Classify,סווג
Close,סגור
Color,צבע
Compare,השווה
Comparison,השוואה
Complete brute-force vector evaluation is used for every eligible chunk. Corpora larger than this ceiling are still scanned completely but are flagged as degraded relative to the published latency envelope (1k/10k interactive; 100k complete but possibly slow).,הערכה וקטורית מלאה בכוח גס משמשת לכל מקטע כשיר. קורפוסים גדולים מהתקרה הזאת עדיין נסרקים במלואם אבל מסומנים כמוחלשים ביחס למעטפת ההשהיה שפורסמה (1k/10k אינטראקטיבי; 100k מלא אך אולי איטי).
Completed,הושלם
Completed On,הושלם בתאריך
Completion,השלמה
Completion Tokens,טוקנים של השלמה
Condition,תנאי
Confidence,ביטחון
Configuration,תצורה
Conflict,התנגשות
Conflict Test,בדיקת התנגשות
Conflicts / Overlaps,התנגשויות / חפיפות
Conflicts Summary,סיכום התנגשויות
Consecutive Failures,כשלים רצופים
Content,תוכן
Context,הקשר
Context Override,עקיפת הקשר
Context Quote,ציטוט הקשר
Context Used,הקשר שנעשה בו שימוש
Context Window,חלון הקשר
Continue,המשך
Conversation,שיחה
Conversation is required.,נדרשת שיחה.
Conversation {0} created.,השיחה {0} נוצרה.
Conversations,שיחות
Copied,הועתק
Copied From,הועתק מ
Copied On,הועתק בתאריך
Copy,העתק
Correction,תיקון
Created,נוצר
Critical,קריטי
Cron Schedule,תזמון Cron
Custom,מותאם
Custom Adapter Path,נתיב מתאם מותאם
Custom Method,מתודה מותאמת
Data,נתונים
Date,תאריך
Default,ברירת מחדל
Default Agent,סוכן ברירת מחדל
Default Chat Model,מודל צ׳אט ברירת מחדל
Default Embedding Model,מודל הטבעה ברירת מחדל
Default for new translations: store the finished text as its own searchable AI Document.,ברירת מחדל לתרגומים חדשים: שמור את הטקסט המוגמר כמסמך בינה מלאכותית נפרד לחיפוש.
Default for Type,ברירת מחדל לסוג
Default Glossary,מילון ברירת מחדל
Default Provider,ספק ברירת מחדל
Default System Prompt,פרומפט מערכת ברירת מחדל
Default Target Language,שפת יעד ברירת מחדל
Default Translation Model,מודל תרגום ברירת מחדל
Default Vision Model,מודל ראייה ברירת מחדל
Degraded,מוחלש
Delete,מחק
Delete Conversation,מחק שיחה
Delete Selected,מחק את הנבחרים
Denormalised path of the folder for fast filtering and provenance.,נתיב לא מנורמל של התיקייה לסינון מהיר ולתיעוד מקוריות.
Denormalized from the document so knowledge-base row permissions apply without a join.,לא מנורמל מהמסמך כדי שהרשאות שורה של בסיס ידע יחולו בלי צירוף.
Description,תיאור
Details,פרטים
"Detected written language(s) as ISO 639-1 codes (en, ar, he, or en,ar,he when mixed). Filled when text is extracted; you can correct it.","שפה/שפות כתובות שזוהו כקודי ISO 639-1 (en, ar, he או en,ar,he כשמעורב). ממולא בעת חילוץ הטקסט; ניתן לתקן אותו."
"Deterministic canonical identity for this type, used for deduplication.","זהות קנונית דטרמיניסטית לסוג הזה, בשימוש להסרת כפילויות."
Digest,תמצית
Dimensions,מימדים
Discover Models,גלה מודלים
DocType Action,פעולת DocType
DocType Query,שאילתת DocType
DocType Record,רשומת DocType
Document,מסמך
Document Chunks,מקטעי מסמך
Document Ingest,קליטת מסמכים
Document Intelligence,אינטליגנציית מסמכים
Document Type,סוג מסמך
Documents,מסמכים
Documents Processed,מסמכים שעובדו
Domain,דומיין
Dotted path to a class deriving from ai_fr_hg.ai.providers.base.BaseProvider,נתיב מנוקד למחלקה שיורשת מ-ai_fr_hg.ai.providers.base.BaseProvider
Dotted path to a whitelisted python callable.,נתיב מנוקד לפונקציה ניתנת להפעלה של Python מהרשימה הלבנה.
Draft,טיוטה
Due Date,תאריך יעד
Duration (ms),משך (מ״ש)
"Each row is one concept in English, Arabic and Hebrew. The direction being translated decides which column is the source and which is the required output.","כל שורה היא מושג אחד באנגלית, בערבית ובעברית. כיוון התרגום קובע איזו עמודה היא המקור ואיזו היא הפלט הנדרש."
Embed,הטבע
Embedded Chunks,מקטעים מוטבעים
Embedded On,הוטבע בתאריך
Embedding,הטבעה
Embedding Dimensions,מימדי הטבעה
Embedding Format,פורמט הטבעה
Embedding Model,מודל הטבעה
Embedding Vector,וקטור הטבעה
Enable AI Platform,אפשר פלטפורמת בינה מלאכותית
Enable Health Checks,אפשר בדיקות תקינות
Enable Hybrid Search,אפשר חיפוש היברידי
Enable Learning Loop,אפשר לולאת למידה
Enable OCR Fallback,אפשר גיבוי OCR
Enable Scheduled Knowledge Backup,אפשר גיבוי ידע מתוזמן
Enable Streaming,אפשר הזרמה
Enable Tool Calling,אפשר קריאת כלים
Enable Translation,אפשר תרגום
Enabled,מופעל
Engine,מנוע
English,אנגלית
Entity Type,סוג ישות
Error,שגיאה
Error Message,הודעת שגיאה
Error Type,סוג שגיאה
Event,אירוע
Execution,הרצה
Execution Log,יומן הרצה
Execution Log Retention (days),שמירת יומן הרצה (ימים)
Execution Logs,יומני הרצה
Explicit Teaching,לימוד מפורש
Export,ייצא
Extra Headers,כותרות נוספות
Extract,חלץ
Extract Data,חלץ נתונים
Extract Text,חלץ טקסט
Extracted Data,נתונים שחולצו
Extracted Text,טקסט שחולץ
Extracting,מחלץ
Extraction,חילוץ
Extraction Instructions,הוראות חילוץ
Extraction Schema,סכימת חילוץ
Extraction Schemas,סכימות חילוץ
Extraction Warnings,אזהרות חילוץ
Fact,עובדה
Failed,נכשל
Failures,כשלים
Fallback Answer,תשובת גיבוי
Family,משפחה
Favorite Folders,תיקיות מועדפות
Feedback,משוב
Feedback Comment,הערת משוב
Feedback Reason,סיבת משוב
Field Allowlist,רשימת שדות מותרים
Field Name,שם שדה
Field on the triggering document used as input. Defaults to the whole document.,שדה במסמך המפעיל שמשמש כקלט. ברירת המחדל היא המסמך כולו.
Field on the triggering document where the result is written.,שדה במסמך המפעיל שאליו נכתבת התוצאה.
Fields,שדות
File,קובץ
File Size (bytes),גודל קובץ (בתים)
Files,קבצים
Fingerprint,טביעת אצבע
Finished At,הסתיים ב
First Offset,היסט ראשון
Flagged,מסומן
Flagged Segments,מקטעים מסומנים
Focused Document,מסמך במיקוד
Folder,תיקייה
Folder Intelligence,אינטליגנציית תיקיות
Folder Organization,ארגון תיקיות
Follows the folder's privacy setting at creation.,עוקב אחר הגדרת הפרטיות של התיקייה בעת יצירה.
Footnote,הערת שוליים
Formal,רשמי
Format,פורמט
Formatting,עיצוב
Free-form tag for folder-level knowledge tagging and filtered retrieval.,תג חופשי לתיוג ידע ברמת התיקייה ולאחזור מסונן.
General,כללי
Generated JSON Schema,סכימת JSON שנוצרה
Generated Schema,סכימה שנוצרה
Generation,יצירה
Generation Defaults,ברירות מחדל ליצירה
Global,גלובלי
Glossary,מילון
Glossary Name,שם מילון
Governance,ממשל
GPU Layers,שכבות GPU
Greeting,ברכה
Handler Method,מתודת מטפל
Hard execution deadline. Tools fail closed if the runtime cannot enforce it.,דדליין הרצה קשיח. כלים נכשלים סגור אם זמן הריצה לא יכול לאכוף אותו.
Heading,כותרת
Health,תקינות
Health Check,בדיקת תקינות
Health Check Interval (minutes),מרווח בדיקת תקינות (דקות)
Health Log Retention (days),שמירת יומן תקינות (ימים)
Hebrew,עברית
Helpful,מועיל
High,גבוה
How much source text is translated as one unit.,כמה טקסט מקור מתורגם כיחידה אחת.
Hybrid,היברידי
"Identifier used by the runtime, e.g. llama3.1:8b","מזהה בשימוש זמן הריצה, לדוגמה llama3.1:8b"
Idle,בהמתנה
"If set, retrieval scoped to this folder can be constrained to a knowledge base.","אם מוגדר, ניתן להגביל אחזור המוגבל לתיקייה הזאת לבסיס ידע."
Image-file OCR fallback only. Requires Tesseract and the optional ocr extra; scanned-PDF OCR is not supported.,גיבוי OCR לקבצי תמונה בלבד. דורש Tesseract ואת ה-extra האופציונלי ocr; OCR ל-PDF סרוק אינו נתמך.
Immutable source identity retained for provenance without changing source-document deletion policy.,זהות מקור בלתי משתנה שנשמרת לתיעוד מקוריות מבלי לשנות את מדיניות מחיקת מסמך המקור.
In Progress,בביצוע
Incorrect Information,מידע שגוי
Index Statistics,סטטיסטיקות אינדקס
Index Status,סטטוס אינדקס
Index the finished translation as its own searchable AI Document.,אנדקס את התרגום המוגמר כמסמך בינה מלאכותית נפרד לחיפוש.
Index Translation as Document,אנדקס תרגום כמסמך
Index Translations as Documents,אנדקס תרגומים כמסמכים
Indexed,מאונדקס
Indexed On,אונדקס בתאריך
Indexing,מאנדקס
Info,מידע
Informal,לא רשמי
Ingest Document,קלוט מסמך
"Ingest, index and interrogate your documents. Everything stays on this machine.","קלוט, אנדקס ותחקר את המסמכים שלך. הכול נשאר במכונה הזאת."
Ingestion,קליטה
Inline,בשורה
Input,קלט
Input / Output,קלט / פלט
Input Data,נתוני קלט
Input Key,מפתח קלט
Instruction,הוראה
Instructions,הוראות
Integer,מספר שלם
Intelligence,אינטליגנציה
Internal,פנימי
Invalid tree continuation token.,אסימון המשך עץ לא תקף.
IP Address,כתובת IP
Is Private,פרטי
Issue Summary,סיכום בעיה
Issues,בעיות
Jinja template. Variables declared below are available in the render context.,תבנית Jinja. המשתנים המוצהרים למטה זמינים בהקשר הרינדור.
Job ID,מזהה עבודה
JSON Schema,סכימת JSON
Keep Alive,השאר בחיים
Keep As Is,השאר כפי שהוא
Keep this term exactly as written in every language.,השאר את המונח הזה בדיוק כפי שנכתב בכל שפה.
Keys here become the pipeline's starting context.,מפתחות כאן הופכים להקשר ההתחלתי של הצינור.
Keyword,מילת מפתח
Kind,סוג
Knowledge,ידע
Knowledge Base,בסיס ידע
Knowledge Base Scope,היקף בסיס ידע
Knowledge Bases,בסיסי ידע
Knowledge Candidates,מועמדי ידע
Knowledge Content,תוכן ידע
Knowledge Explorer,מפעל הידע
Knowledge Tag,תג ידע
Label,תווית
Language,שפה
Last Checked,נבדק לאחרונה
Last Error,שגיאה אחרונה
Last Health Check,בדיקת תקינות אחרונה
Last Indexed On,אונדקס לאחרונה ב
Last Message,הודעה אחרונה
Last Operation,פעולה אחרונה
Last Operation By,פעולה אחרונה על ידי
Last Operation On,פעולה אחרונה בתאריך
Last Run,הרצה אחרונה
Last Used On,שימוש אחרון בתאריך
Latency (ms),השהיה (מ״ש)
Learned Context,הקשר נלמד
Learning,למידה
Learning Activity,פעילות למידה
Leave empty to allow every enabled model.,השאר ריק כדי לאפשר כל מודל מופעל.
Leave empty to detect the language of the extracted text automatically.,השאר ריק כדי לזהות אוטומטית את שפת הטקסט שחולץ.
Leave empty to use the default chat model.,השאר ריק כדי להשתמש במודל הצ׳אט ברירת המחדל.
Leave empty to use the platform's default translation or chat model.,השאר ריק כדי להשתמש במודל התרגום או הצ׳אט ברירת המחדל של הפלטפורמה.
Legal,משפטי
Limits,מגבלות
Loading...,טוען...
Log Prompts,יומן פרומפטים
Log Responses,יומן תשובות
Log Search Queries,יומן שאילתות חיפוש
Low,נמוך
Lower values are preferred during automatic failover.,ערכים נמוכים מועדפים בזמן גיבוי כשל אוטומטי.
Manual,ידני
Markdown,Markdown
Max Concurrent Requests,מקסימום בקשות במקביל
Max Context Characters,מקסימום תווי הקשר
Max Document Size (MB),גודל מסמך מרבי (MB)
Max Documents / Day,מקסימום מסמכים / יום
Max Memory Context Characters,מקסימום תווי הקשר של זיכרון
Max Pattern Entities per Document,מקסימום ישויות תבנית למסמך
Max Requests / Hour,מקסימום בקשות / שעה
Max Requests / User / Hour,מקסימום בקשות / משתמש / שעה
Max Retries,מקסימום ניסיונות חוזרים
Max Runtime (s),מקסימום זמן ריצה (שניות)
Max Tokens,מקסימום טוקנים
Max Tokens / Day,מקסימום טוקנים / יום
Max Tokens / User / Day,מקסימום טוקנים / משתמש / יום
Max Tool Iterations,מקסימום איטרציות כלים
Max Turn Duration (s),משך תור מרבי (שניות)
Medium,בינוני
Memories,זיכרונות
Memories Recalled Per Turn,זיכרונות שנזכרו לתור
Memory,זיכרון
Memory Reuse,שימוש חוזר בזיכרון
Memory Usage,שימוש בזיכרון
Message,הודעה
Messages,הודעות
Metadata,מטא-נתונים
Metrics,מטריקות
MIME Type,סוג MIME
Minimum cosine score from 0 to 1. Values such as 25 are treated as 25%.,ציון קוסינוס מינימלי מ-0 עד 1. ערכים כמו 25 מטופלים כ-25%.
"Minimum cosine similarity a passage needs to be considered relevant. Use 0–1, or 1–100 as a percentage (25 becomes 0.25). 0 returns everything; 1 only exact matches.","דמיון קוסינוס מינימלי שקטע צריך כדי להיחשב רלוונטי. השתמש ב-0–1, או 1–100 כאחוז (25 הופך ל-0.25). 0 מחזיר הכול; 1 רק התאמות מדויקות."
Missing,חסר
Missing Information,מידע חסר
Model,מודל
Model Manager,מנהל מודלים
Model Name Prefix,קידומת שם מודל
Model Type,סוג מודל
Model Used,מודל שנעשה בו שימוש
Models,מודלים
Monitoring,ניטור
Move,העבר
Must be a Chat or Vision model (for example qwen2.5:0.5b). Embedding models such as all-minilm belong in Default Embedding Model.,חייב להיות מודל צ׳אט או ראייה (לדוגמה qwen2.5:0.5b). מודלי הטבעה כמו all-minilm שייכים ל״מודל הטבעה ברירת מחדל״.
Must be a Vision model (for example llava:7b). Leave empty if you have none that fit this machine.,חייב להיות מודל ראייה (לדוגמה llava:7b). השאר ריק אם אין לך כזה שמתאים למכונה הזאת.
Must be an Embedding model (nomic-embed-text or all-minilm). Do not put a chat model here.,חייב להיות מודל הטבעה (nomic-embed-text או all-minilm). אל תשים כאן מודל צ׳אט.
My Conversations,השיחות שלי
Native File folder this settings record extends (is_folder=1).,תיקיית קבצים מקורית שרשומת ההגדרות הזאת מרחיבה (is_folder=1).
Needs Review,דורש עיון
Negative,שלילי
Neutral,ניטרלי
New Conversation,שיחה חדשה
Newline separated hostnames permitted in strict local-only mode.,שמות מארח מופרדים בשורות חדשות מותרים במצב מקומי-בלבד נוקשה.
Newline separated regular expressions redacted before logging.,ביטויים רגולריים מופרדים בשורות חדשות שמוסתרים לפני הרישום ליומן.
Next,הבא
No,לא
No adapter is registered for provider type {0}.,לא רשום מתאם עבור סוג הספק {0}.
No Agent,אין סוכן
No AI agent is configured yet.,עדיין לא מוגדר סוכן בינה מלאכותית.
No AI Agent is configured. Create one in the AI Administration workspace.,לא מוגדר סוכן בינה מלאכותית. צור אחד במרחב העבודה של ניהול הבינה המלאכותית.
No AI Provider is configured. Create one in the AI Administration workspace.,לא מוגדר ספק בינה מלאכותית. צור אחד במרחב העבודה של ניהול הבינה המלאכותית.
No conversations yet,עדיין אין שיחות
no details,אין פרטים
No document reader is registered for .{0}. Supported extensions: {1},לא רשום קורא מסמכים עבור .{0}. סיומות נתמכות: {1}
No document supplied to the Embed step.,לא סופק מסמך לשלב ההטבעה.
No document supplied to the Extract Text step.,לא סופק מסמך לשלב חילוץ הטקסט.
No documents yet.,עדיין אין מסמכים.
"No embedding model is set, so semantic search is unavailable for this knowledge base.","לא הוגדר מודל הטבעה, ולכן חיפוש סמנטי אינו זמין לבסיס הידע הזה."
No enabled {0} model is available. Register one in the AI Models workspace.,אין מודל {0} מופעל זמין. רשום אחד במרחב העבודה של מודלי הבינה המלאכותית.
No extraction warnings — clean extraction.,אין אזהרות חילוץ — חילוץ נקי.
No longer present,כבר לא קיים
No Model,אין מודל
No models registered yet. Start your runtime and click Discover Models.,עדיין לא נרשמו מודלים. הפעל את זמן הריצה שלך ולחץ על גלה מודלים.
No models registered.,אין מודלים רשומים.
No originating record is required for this source type.,לא נדרשת רשומת מקור לסוג המקור הזה.
No pattern entities yet. Use Extract Patterns to scan this document.,עדיין אין ישויות תבנית. השתמש בחלץ תבניות כדי לסרוק את המסמך הזה.
No Provider,אין ספק
No providers configured.,אין ספקים מוגדרים.
No recent failures.,אין כשלים אחרונים.
No segments are flagged.,אין מקטעים מסומנים.
No segments yet.,עדיין אין מקטעים.
No source file is attached.,לא מצורף קובץ מקור.
No sources for this answer.,אין מקורות לתשובה הזאת.
No usage recorded yet.,עדיין לא נרשם שימוש.
No valid target knowledge base could be determined.,לא ניתן היה לקבוע בסיס ידע יעד תקף.
nodes must be a valid JSON array,nodes חייב להיות מערך JSON תקף
nodes must be an array of tree node identifiers,nodes חייב להיות מערך של מזהי צמתי עץ
Non-manager URL ingestion is limited to hosts in Additional Allowed Hosts.,קליטת URL על ידי לא-מנהלים מוגבלת למארחים ב״מארחים מותרים נוספים״.
None,ללא
None yet.,עדיין כלום.
Normalized case-folded SHA-256 location-local identity used for collation-independent cross-database collision enforcement.,"זהות מקומית-מיקום מנורמלת ומקופלת-רישיות של SHA-256, בשימוש לאכיפת אי-התנגשות בין בסיסי נתונים באופן בלתי תלוי בסידור."
Normalized Value,ערך מנורמל
not embedded,לא מוטבע
Not Helpful,לא מועיל
Not Tested,לא נבדק
Notes,הערות
Number,מספר
Number of passages retrieved for every query. More passages give the model more evidence but use more context window.,מספר הקטעים שאוחזרו לכל שאילתה. יותר קטעים נותנים למודל יותר ראיות אך צורכים יותר חלון הקשר.
Object,אובייקט
Occurrences,מופעים
Offline,לא מקוון
On,בעת
On Error,בעת שגיאה
Online,מקוון
Open,פתוח
Operation,פעולה
Operations Dashboard,לוח בקרה תפעולי
