#,#
Allow non-manager users with knowledge-base write grants to fetch URL sources from Additional Allowed Hosts. Redirects and response sizes remain guarded.,Allow non-manager users with knowledge-base write grants to fetch URL sources from Additional Allowed Hosts. Redirects and response sizes remain guarded.
Allow Pipeline Execution,Allow Pipeline Execution
Allow Tool Execution,Allow Tool Execution
Allow User URL Ingestion,Allow User URL Ingestion
Allowed Models,Allowed Models
Allowed Roles,Allowed Roles
Allowed Values,Allowed Values
Also delete all folders and AI Documents in this subtree?,Also delete all folders and AI Documents in this subtree?
An agent is configured,An agent is configured
An embedding model is registered,An embedding model is registered
An update action needs a document name.,An update action needs a document name.
Answer Only From Knowledge,Answer Only From Knowledge
Answer Only From Knowledge requires Use Knowledge Retrieval to be enabled.,Answer Only From Knowledge requires Use Knowledge Retrieval to be enabled.
Answer with AI,Answer with AI
API,API
API Key,API Key
Application-Level Document Encryption (Unsupported),Application-Level Document Encryption (Unsupported)
Application-level document encryption is not supported.,Application-level document encryption is not supported.
Applied Skills,Applied Skills
Applies to Role,Applies to Role
Applies to User,Applies to User
Approval notes are required when overriding a conflict.,Approval notes are required when overriding a conflict.
Approval Required,Approval Required
Approve,Approve
Approve and Run,Approve and Run
Approve Conflicting Candidate,Approve Conflicting Candidate
Approved,Approved
Approved At,Approved At
Approved By,Approved By
Approved On,Approved On
ar,ar
Arabic,Arabic
Archive,Archive
Archive Conversation,Archive Conversation
Archive this memory so it no longer influences AI answers?,Archive this memory so it no longer influences AI answers?
Archived,Archived
Archived documents cannot be processed.,Archived documents cannot be processed.
Argument {0} for tool {1} is not an allowed value.,Argument {0} for tool {1} is not an allowed value.
Argument {0} for tool {1} must be {2}.,Argument {0} for tool {1} must be {2}.
Arguments,Arguments
Array,Array
Ask,Ask
Ask About This,Ask About This
Ask about {0},Ask about {0}
Ask AI,Ask AI
"Ask anything, or attach a document...","Ask anything, or attach a document..."
Assistant,Assistant
Attach a document,Attach a document
Audit,Audit
Audit Log Retention (days),Audit Log Retention (days)
Audit Logs,Audit Logs
Auto detect,Auto detect
Auto Embed After Extraction,Auto Embed After Extraction
Auto Pattern Scan,Auto Pattern Scan
Auto Process Uploaded Documents,Auto Process Uploaded Documents
Automation,Automation
Automation Rules,Automation Rules
Automation rules cannot target the platform's own DocTypes; this would recurse.,Automation rules cannot target the platform's own DocTypes; this would recurse.
Available,Available
Available Models,Available Models
Average Latency (ms),Average Latency (ms)
Avg,Avg
avg,avg
Avg Latency,Avg Latency
Back-Translation Samples,Back-Translation Samples
Back-translation similarity is only {0}.,Back-translation similarity is only {0}.
Background Queues,Background Queues
Base URL,Base URL
Base URL must include a hostname.,Base URL must include a hostname.
Base URL must start with http:// or https://,Base URL must start with http:// or https://
Base64 Float32,Base64 Float32
Batch Size,Batch Size
Behaviour,Behaviour
blank,blank
Blocks any provider endpoint that is not a loopback/private address.,Blocks any provider endpoint that is not a loopback/private address.
Boolean,Boolean
Both a DocType and a document name are required.,Both a DocType and a document name are required.
"Bounded quote around the first occurrence, for citation re-anchoring.","Bounded quote around the first occurrence, for citation re-anchoring."
Builtin,Builtin
Bulk Actions,Bulk Actions
Bulk deletion of {0} items completed.,Bulk deletion of {0} items completed.
Bulk deletion of {0} items was queued.,Bulk deletion of {0} items was queued.
Bulk move of {0} items completed.,Bulk move of {0} items completed.
Bulk move of {0} items was queued.,Bulk move of {0} items was queued.
Bulk move queued.,Bulk move queued.
Bulk move queued. Progress will be recorded in the audit trail.,Bulk move queued. Progress will be recorded in the audit trail.
Bulk operations only accept folder and document nodes.,Bulk operations only accept folder and document nodes.
By Type,By Type
Can Write,Can Write
Cancel Processing,Cancel Processing
Cancel Requested,Cancel Requested
Cancellation requested,Cancellation requested
Cancelled,Cancelled
Cancelled by user,Cancelled by user
Candidate created: {0},Candidate created: {0}
Candidate has no content.,Candidate has no content.
Candidate ID,Candidate ID
"Candidate status can only be changed through Validate, Approve, or Reject.","Candidate status can only be changed through Validate, Approve, or Reject."
Candidate test result: {0},Candidate test result: {0}
Candidate type is invalid.,Candidate type is invalid.
Candidate {0} ({1}) created for {2} scope.,Candidate {0} ({1}) created for {2} scope.
Candidate {0} entered learning state {1}.,Candidate {0} entered learning state {1}.
Candidate {0} failed validation.,Candidate {0} failed validation.
Candidate {0} has already been decided ({1}).,Candidate {0} has already been decided ({1}).
Candidates,Candidates
"Cannot delete {0}: it is used by {1} model(s), including {2}.","Cannot delete {0}: it is used by {1} model(s), including {2}."
Cannot delete {0}: {1} indexed chunks were embedded with it.,Cannot delete {0}: {1} indexed chunks were embedded with it.
Cannot {0} a document in {1} status.,Cannot {0} a document in {1} status.
Canonical parent in Frappe's native File folder hierarchy. Home represents the tree root.,Canonical parent in Frappe's native File folder hierarchy. Home represents the tree root.
Capabilities,Capabilities
Case Sensitive,Case Sensitive
Category,Category
Character offset of the first match within the scanned text window.,Character offset of the first match within the scanned text window.
Characters,Characters
Characters carried from one chunk to the next so no fact is split across a boundary. Must be smaller than Chunk Size.,Characters carried from one chunk to the next so no fact is split across a boundary. Must be smaller than Chunk Size.
chars,chars
Chat,Chat
Chat completion failed.,Chat completion failed.
Chat Correction,Chat Correction
"Chat with your local models, search your knowledge, and run AI tasks.","Chat with your local models, search your knowledge, and run AI tasks."
Checked On,Checked On
Checksum,Checksum
Checksum of the document source when this row was written. Rescans refresh it.,Checksum of the document source when this row was written. Rescans refresh it.
Choose a target language: {0}.,Choose a target language: {0}.
"Choose Arabic, English or Hebrew as the target language.","Choose Arabic, English or Hebrew as the target language."
Choose where every selected upload in this batch will be stored.,Choose where every selected upload in this batch will be stored.
Chunk,Chunk
Chunk Index,Chunk Index
Chunk Overlap,Chunk Overlap
Chunk Overlap (characters),Chunk Overlap (characters)
Chunk Overlap ({0}) must be smaller than Chunk Size ({1}).,Chunk Overlap ({0}) must be smaller than Chunk Size ({1}).
Chunk Overlap adjusted to stay below Chunk Size.,Chunk Overlap adjusted to stay below Chunk Size.
Chunk Overlap cannot be negative.,Chunk Overlap cannot be negative.
Chunk Overlap must be smaller than Chunk Size - adjusted automatically.,Chunk Overlap must be smaller than Chunk Size - adjusted automatically.
Chunk Overlap must be smaller than Chunk Size.,Chunk Overlap must be smaller than Chunk Size.
Chunk Size,Chunk Size
Chunk Size (characters),Chunk Size (characters)
Chunk Size must be at least 100 characters.,Chunk Size must be at least 100 characters.
Chunk {0},Chunk {0}
Chunking,Chunking
Chunks,Chunks
chunks,chunks
Citation Mode,Citation Mode
Citations,Citations
Classification,Classification
Classification Confidence,Classification Confidence
Classification needs at least one category.,Classification needs at least one category.
Classify,Classify
Close,Close
code,code
Collapse All,Collapse All
Color,Color
Compare,Compare
Compare Documents,Compare Documents
Compare with,Compare with
Compare With...,Compare With...
Comparing...,Comparing...
Comparison,Comparison
Complete brute-force vector evaluation is used for every eligible chunk. Corpora larger than this ceiling are still scanned completely but are flagged as degraded relative to the published latency envelope (1k/10k interactive; 100k complete but possibly slow).,Complete brute-force vector evaluation is used for every eligible chunk. Corpora larger than this ceiling are still scanned completely but are flagged as degraded relative to the published latency envelope (1k/10k interactive; 100k complete but possibly slow).
Completed,Completed
Completed On,Completed On
Completion,Completion
Completion Tokens,Completion Tokens
Condition,Condition
Condition has a syntax error: {0},Condition has a syntax error: {0}
Confidence,Confidence
Configuration,Configuration
Conflict,Conflict
Conflict Override Notes,Conflict Override Notes
Conflict Test,Conflict Test
Conflicts,Conflicts
Conflicts / Overlaps,Conflicts / Overlaps
Conflicts Summary,Conflicts Summary
Connection Test,Connection Test
Consecutive Failures,Consecutive Failures
Contacting {0}...,Contacting {0}...
Content,Content
Content present.,Content present.
Context,Context
Context Override,Context Override
Context Quote,Context Quote
Context Used,Context Used
Context Window,Context Window
Context Window must be at least 512.,Context Window must be at least 512.
Continue,Continue
Conversation,Conversation
Conversation is required.,Conversation is required.
Conversation Summary,Conversation Summary
Conversation {0} created.,Conversation {0} created.
Conversations,Conversations
Copied,Copied
Copied From,Copied From
Copied On,Copied On
Copy,Copy
Copy completed with errors,Copy completed with errors
Copy Document To…,Copy Document To…
Copy failed,Copy failed
Copy Files to Folder…,Copy Files to Folder…
Copy provenance can only be set by the document copy service.,Copy provenance can only be set by the document copy service.
Copy provenance is immutable.,Copy provenance is immutable.
Copy provenance requires both a source identity and timestamp.,Copy provenance requires both a source identity and timestamp.
Copy Translation,Copy Translation
Copying folder subtree,Copying folder subtree
Corpus,Corpus
Correction,Correction
Correction (optional),Correction (optional)
Could not create folder,Could not create folder
"Could not detect the source language. Choose Arabic, English or Hebrew explicitly.","Could not detect the source language. Choose Arabic, English or Hebrew explicitly."
Could not fetch {0}: {1},Could not fetch {0}: {1}
Could not inspect document job {0},Could not inspect document job {0}
Could not load custom adapter {0}: {1},Could not load custom adapter {0}: {1}
Could not load custom pipeline method {0}.,Could not load custom pipeline method {0}.
Could not load knowledge overview.,Could not load knowledge overview.
Could not load the AI configuration.,Could not load the AI configuration.
Could not load the operations dashboard.,Could not load the operations dashboard.
Could not queue model installation.,Could not queue model installation.
Could not reconcile AI document {0},Could not reconcile AI document {0}
Could not resolve source host {0}.,Could not resolve source host {0}.
Create,Create
Create a knowledge base and upload documents.,Create a knowledge base and upload documents.
Create a knowledge base before uploading documents.,Create a knowledge base before uploading documents.
Create an Agent,Create an Agent
Create an AI Agent to enable chat.,Create an AI Agent to enable chat.
Create an AI Provider first.,Create an AI Provider first.
Create an AI Provider pointing at your local runtime.,Create an AI Provider pointing at your local runtime.
Create Folder,Create Folder
Create inside the selected folder,Create inside the selected folder
Create one,Create one
Created,Created
Created {0},Created {0}
Critical,Critical
Cron Schedule,Cron Schedule
Custom,Custom
custom,custom
Custom Adapter Path,Custom Adapter Path
Custom Method,Custom Method
Custom pipeline method {0} has not been marked with @pipeline_step_method.,Custom pipeline method {0} has not been marked with @pipeline_step_method.
Custom pipeline method {0} is not callable.,Custom pipeline method {0} is not callable.
Custom pipeline method {0} is not registered in ai_pipeline_methods.,Custom pipeline method {0} is not registered in ai_pipeline_methods.
Daily document limit reached ({0} documents).,Daily document limit reached ({0} documents).
Daily token limit reached ({0} tokens).,Daily token limit reached ({0} tokens).
Data,Data
Date,Date
date,date
Days,Days
Default,Default
default,default
Default Agent,Default Agent
Default Chat Model,Default Chat Model
Default Embedding Model,Default Embedding Model
Default for new translations: store the finished text as its own searchable AI Document.,Default for new translations: store the finished text as its own searchable AI Document.
Default for Type,Default for Type
Default Glossary,Default Glossary
Default model,Default model
Default Provider,Default Provider
Default System Prompt,Default System Prompt
Default Target Language,Default Target Language
Default Translation Model,Default Translation Model
Default updated,Default updated
Default Vision Model,Default Vision Model
Degraded,Degraded
Degraded retrieval,Degraded retrieval
Delete,Delete
Delete all selected items atomically? Folder descendants will be included.,Delete all selected items atomically? Folder descendants will be included.
Delete Conversation,Delete Conversation
Delete records older than (days),Delete records older than (days)
Delete Selected,Delete Selected
Delete this AI Document? Native Frappe attachment and retention policy will be applied.,Delete this AI Document? Native Frappe attachment and retention policy will be applied.
Delete this conversation and all of its messages?,Delete this conversation and all of its messages?
Delete this folder? Non-empty folders require an explicit recursive deletion and every descendant will be permission checked.,Delete this folder? Non-empty folders require an explicit recursive deletion and every descendant will be permission checked.
Delete {0} selected item(s)? Non-empty folders are deleted recursively. This cannot be undone.,Delete {0} selected item(s)? Non-empty folders are deleted recursively. This cannot be undone.
Deleted {0} records.,Deleted {0} records.
Delete…,Delete…
Deleting folder subtree,Deleting folder subtree
Denormalised path of the folder for fast filtering and provenance.,Denormalised path of the folder for fast filtering and provenance.
Denormalized from the document so knowledge-base row permissions apply without a join.,Denormalized from the document so knowledge-base row permissions apply without a join.
Depth,Depth
Description,Description
Desk assets failed to load,Desk assets failed to load
Destination Folder,Destination Folder
Details,Details
Detect automatically,Detect automatically
"Detected written language(s) as ISO 639-1 codes (en, ar, he, or en,ar,he when mixed). Filled when text is extracted; you can correct it.","Detected written language(s) as ISO 639-1 codes (en, ar, he, or en,ar,he when mixed). Filled when text is extracted; you can correct it."
"Deterministic canonical identity for this type, used for deduplication.","Deterministic canonical identity for this type, used for deduplication."
Digest,Digest
Dimensions,Dimensions
Disable,Disable
Disable this skill so it is no longer injected into prompts?,Disable this skill so it is no longer injected into prompts?
Disabled,Disabled
Discard existing chunks and process again?,Discard existing chunks and process again?
Discover,Discover
Discover Models,Discover Models
Discovering models...,Discovering models...
Discovery Complete,Discovery Complete
Discovery Failed,Discovery Failed
Discovery failed.,Discovery failed.
docs,docs
DocType Action,DocType Action
DocType Query,DocType Query
DocType Record,DocType Record
Document,Document
Document Chunks,Document Chunks
Document copied to {0},Document copied to {0}
Document embedding failed.,Document embedding failed.
Document indexing did not complete successfully.,Document indexing did not complete successfully.
Document Ingest,Document Ingest
Document Intelligence,Document Intelligence
Document is {0} bytes; the configured limit is {1} bytes.,Document is {0} bytes; the configured limit is {1} bytes.
Document processing was cancelled.,Document processing was cancelled.
Document source is empty.,Document source is empty.
Document source URL,Document source URL
Document text extraction failed.,Document text extraction failed.
Document Tree,Document Tree
Document Type,Document Type
Document {0} has no extracted content to scan.,Document {0} has no extracted content to scan.
Document {0} has no extracted text to index.,Document {0} has no extracted text to index.
Document {0} has no extracted text yet. Process it before translating.,Document {0} has no extracted text yet. Process it before translating.
Document {0} has no extracted text.,Document {0} has no extracted text.
Document {0} is indexed and searchable.,Document {0} is indexed and searchable.
Document {0} is queued under a different processing authority.,Document {0} is queued under a different processing authority.
Document {0} must be explicitly reprocessed before it can be queued again.,Document {0} must be explicitly reprocessed before it can be queued again.
Document {0} was copied to new identity {1}.,Document {0} was copied to new identity {1}.
Document {0} was deleted using the framework attachment policy.,Document {0} was deleted using the framework attachment policy.
Document {0} was moved from {1} to {2}.,Document {0} was moved from {1} to {2}.
Document {0} was queued for canonical processing.,Document {0} was queued for canonical processing.
Document {0} was renamed from {1} to {2}.,Document {0} was renamed from {1} to {2}.
Documents,Documents
Documents Indexed,Documents Indexed
Documents Processed,Documents Processed
Domain,Domain
Dotted path to a class deriving from ai_fr_hg.ai.providers.base.BaseProvider,Dotted path to a class deriving from ai_fr_hg.ai.providers.base.BaseProvider
Dotted path to a whitelisted python callable.,Dotted path to a whitelisted python callable.
Download as Text,Download as Text
Downloading {0}. This can take several minutes.,Downloading {0}. This can take several minutes.
Draft,Draft
Due Date,Due Date
Duration (ms),Duration (ms)
"Each row is one concept in English, Arabic and Hebrew. The direction being translated decides which column is the source and which is the required output.","Each row is one concept in English, Arabic and Hebrew. The direction being translated decides which column is the source and which is the required output."
email,email
Embed,Embed
Embed Dims,Embed Dims
Embed Model,Embed Model
Embedded,Embedded
embedded,embedded
Embedded Chunks,Embedded Chunks
Embedded On,Embedded On
Embedding,Embedding
Embedding Coverage,Embedding Coverage
Embedding Dimensions,Embedding Dimensions
Embedding Format,Embedding Format
Embedding Model,Embedding Model
Embedding Vector,Embedding Vector
Embedding vector {0} contains invalid values.,Embedding vector {0} contains invalid values.
Embedding vector {0} contains non-numeric values.,Embedding vector {0} contains non-numeric values.
Embedding vector {0} has {1} dimensions; expected {2}.,Embedding vector {0} has {1} dimensions; expected {2}.
Embedding vector {0} is empty or malformed.,Embedding vector {0} is empty or malformed.
Embedding was requested for missing chunks: {0},Embedding was requested for missing chunks: {0}
Embeddings returned {0} dimensions.,Embeddings returned {0} dimensions.
en,en
Enable,Enable
Enable AI Platform,Enable AI Platform
Enable Health Checks,Enable Health Checks
Enable Hybrid Search,Enable Hybrid Search
Enable Learning Loop,Enable Learning Loop
Enable OCR Fallback,Enable OCR Fallback
Enable Scheduled Knowledge Backup,Enable Scheduled Knowledge Backup
Enable Streaming,Enable Streaming
Enable the platform in AI Platform Settings.,Enable the platform in AI Platform Settings.
Enable Tool Calling,Enable Tool Calling
Enable Tool Calling is on but no tools are selected.,Enable Tool Calling is on but no tools are selected.
Enable Translation,Enable Translation
Enabled,Enabled
Encrypted Office documents are not supported.,Encrypted Office documents are not supported.
Endpoint,Endpoint
Engine,Engine
English,English
"Enter to send, Shift+Enter for a new line","Enter to send, Shift+Enter for a new line"
Entity Type,Entity Type
Entity type,Entity type
Entity value,Entity value
Error,Error
Error Message,Error Message
Error Type,Error Type
Event,Event
Everything runs on this machine. Select a knowledge base below or attach a file when you want grounded answers — general chat stays fast.,Everything runs on this machine. Select a knowledge base below or attach a file when you want grounded answers — general chat stays fast.
Execution,Execution
Execution Log,Execution Log
Execution Log Retention (days),Execution Log Retention (days)
Execution Logs,Execution Logs
Expand Loaded,Expand Loaded
Explicit Teaching,Explicit Teaching
Export,Export
Export Conversation,Export Conversation
Extra Headers,Extra Headers
Extra Headers must be a JSON object.,Extra Headers must be a JSON object.
Extra Headers must be valid JSON: {0},Extra Headers must be valid JSON: {0}
Extract,Extract
Extract Data,Extract Data
extract data from,extract data from
Extract Patterns,Extract Patterns
Extract Structured Data,Extract Structured Data
Extract Text,Extract Text
Extracted Data,Extracted Data
Extracted Text,Extracted Text
Extracted text exceeds the processing character limit.,Extracted text exceeds the processing character limit.
Extracted {0} pattern entities,Extracted {0} pattern entities
Extracting,Extracting
Extracting...,Extracting...
Extraction,Extraction
Extraction Instructions,Extraction Instructions
Extraction Schema,Extraction Schema
Extraction Schema {0} is disabled.,Extraction Schema {0} is disabled.
Extraction Schemas,Extraction Schemas
Extraction Warnings,Extraction Warnings
Extraction warnings,Extraction warnings
Fact,Fact
Failed,Failed
Failed Documents,Failed Documents
Failures,Failures
Failures (24h),Failures (24h)
Fallback Answer,Fallback Answer
Family,Family
Favorite Folders,Favorite Folders
Favorites,Favorites
Feedback,Feedback
Feedback can only be recorded for assistant messages.,Feedback can only be recorded for assistant messages.
Feedback Comment,Feedback Comment
Feedback must be Positive or Negative.,Feedback must be Positive or Negative.
Feedback Reason,Feedback Reason
Feedback reason is invalid.,Feedback reason is invalid.
Field Allowlist,Field Allowlist
Field Name,Field Name
Field on the triggering document used as input. Defaults to the whole document.,Field on the triggering document used as input. Defaults to the whole document.
Field on the triggering document where the result is written.,Field on the triggering document where the result is written.
Fields,Fields
File,File
File record not found for {0}.,File record not found for {0}.
File record {0} does not match {1}.,File record {0} does not match {1}.
File record {0} was not found.,File record {0} was not found.
File Size (bytes),File Size (bytes)
File type,File type
Files,Files
"Filter values must be strings, numbers or booleans.","Filter values must be strings, numbers or booleans."
Filters must be a JSON object.,Filters must be a JSON object.
Fingerprint,Fingerprint
Finished At,Finished At
First Offset,First Offset
"Fits machines with ~10 GB RAM, ~400 MB","Fits machines with ~10 GB RAM, ~400 MB"
Flagged,Flagged
Flagged Segments,Flagged Segments
Focused,Focused
Focused Document,Focused Document
Folder,Folder
Folder '{0}' does not exist.,Folder '{0}' does not exist.
Folder '{0}' is already in your favorites.,Folder '{0}' is already in your favorites.
Folder added to favorites.,Folder added to favorites.
Folder assignment failed,Folder assignment failed
Folder Intelligence,Folder Intelligence
Folder is required.,Folder is required.
Folder Name,Folder Name
Folder Organization,Folder Organization
Folder removed from favorites.,Folder removed from favorites.
Folder selector unavailable,Folder selector unavailable
Folder {0} and its authorized subtree were deleted.,Folder {0} and its authorized subtree were deleted.
Folder {0} created.,Folder {0} created.
Folder {0} was created in {1}.,Folder {0} was created in {1}.
Folder {0} was moved to {1}.,Folder {0} was moved to {1}.
Folder {0} was recursively copied to {1}.,Folder {0} was recursively copied to {1}.
Folder {0} was renamed to {1}.,Folder {0} was renamed to {1}.
Folder: {0},Folder: {0}
Follows the folder's privacy setting at creation.,Follows the folder's privacy setting at creation.
Footnote,Footnote
For example llama3.1:8b or nomic-embed-text,For example llama3.1:8b or nomic-embed-text
"For example: keep the clause numbering, or use the formal register.","For example: keep the clause numbering, or use the formal register."
Formal,Formal
Format,Format
Formatting,Formatting
Found {0} model(s) on {1}.,Found {0} model(s) on {1}.
Found {0} model(s).,Found {0} model(s).
Free-form tag for folder-level knowledge tagging and filtered retrieval.,Free-form tag for folder-level knowledge tagging and filtered retrieval.
From Date,From Date
General,General
Generated JSON Schema,Generated JSON Schema
Generated Schema,Generated Schema
Generation,Generation
Generation Defaults,Generation Defaults
Global,Global
Global scope is valid.,Global scope is valid.
Glossaries,Glossaries
Glossary,Glossary
Glossary Name,Glossary Name
Governance,Governance
GPU Layers,GPU Layers
Greeting,Greeting
Handler Method,Handler Method
Hard execution deadline. Tools fail closed if the runtime cannot enforce it.,Hard execution deadline. Tools fail closed if the runtime cannot enforce it.
hash,hash
he,he
Heading,Heading
heading,heading
Health,Health
Health Check,Health Check
Health Check Interval (minutes),Health Check Interval (minutes)
Health History,Health History
Health Log Retention (days),Health Log Retention (days)
Hebrew,Hebrew
Helpful,Helpful
High,High
"Higher quality embeddings, ~670 MB","Higher quality embeddings, ~670 MB"
Home,Home
Hourly request limit reached ({0} requests). Try again later.,Hourly request limit reached ({0} requests). Try again later.
How much source text is translated as one unit.,How much source text is translated as one unit.
Hybrid,Hybrid
"Idempotency key supports at most {0} characters from letters, numbers and . _ : -.","Idempotency key supports at most {0} characters from letters, numbers and . _ : -."
identifier,identifier
"Identifier used by the runtime, e.g. llama3.1:8b","Identifier used by the runtime, e.g. llama3.1:8b"
Idle,Idle
"If set, retrieval scoped to this folder can be constrained to a knowledge base.","If set, retrieval scoped to this folder can be constrained to a knowledge base."
Image-file OCR fallback only. Requires Tesseract and the optional ocr extra; scanned-PDF OCR is not supported.,Image-file OCR fallback only. Requires Tesseract and the optional ocr extra; scanned-PDF OCR is not supported.
Immutable source identity retained for provenance without changing source-document deletion policy.,Immutable source identity retained for provenance without changing source-document deletion policy.
Imported {0} documents into knowledge base {1}.,Imported {0} documents into knowledge base {1}.
Improve this answer,Improve this answer
In Progress,In Progress
Incorrect Information,Incorrect Information
Index,Index
Index as Document,Index as Document
Index Statistics,Index Statistics
Index Status,Index Status
Index the finished translation as its own searchable AI Document.,Index the finished translation as its own searchable AI Document.
Index the translation as its own document,Index the translation as its own document
Index Translation as Document,Index Translation as Document
Index Translations as Documents,Index Translations as Documents
Indexed,Indexed
Indexed On,Indexed On
Indexing,Indexing
Indexing...,Indexing...
Info,Info
Informal,Informal
Ingest Document,Ingest Document
"Ingest, index and interrogate your documents. Everything stays on this machine.","Ingest, index and interrogate your documents. Everything stays on this machine."
Ingestion,Ingestion
Inline,Inline
Inline extraction for chat failed: {0},Inline extraction for chat failed: {0}
Inline translation is limited to {0} characters. Translate the document instead.,Inline translation is limited to {0} characters. Translate the document instead.
Input,Input
Input / Output,Input / Output
Input Data,Input Data
Input Key,Input Key
Input Preview,Input Preview
Install,Install
"Install an embedding model, e.g. `ollama pull nomic-embed-text`.","Install an embedding model, e.g. `ollama pull nomic-embed-text`."
Install Failed,Install Failed
Install failed: {0},Install failed: {0}
Install Model,Install Model
